"text","return","Repurchase","PositveWOM","complainseller","negativeWOM","CONFRONTCOPING","SUPPORTSEEKINGCOPING","bookkeeping","helpothers","Retaliation","Cognition","objectivness"
"I did not expect much..but must now say: IMPRESSED. Light and powerful..plus excellent price",0,0,1,0,0,0,0,1,0,0,1,0
"I used 3D Home Architect ($90) years ago and it has very similar abilities to this $15 program. Before purchasing this though, I played with a few free download program from various vendors ranging in price from $60-$200. This program can do the basics even better than most expensive programs. I am very impressed with the simplicity in drawing walls, adding windows, doors, rooms, furniture, etc. Many of the other systems were complicated and took quite a learning curve just to draw walls. I would not expect to use program to turn plans directly over to a builder, but it will save you thousands in architectural fees by laying out your own floor-plan first. Once you design the interior, just turn it over to the architect for all the blueprint details. I'm using Windows 7 and it runs great. I was a little concerned by the description as to which OS versions it supports, but a 64-bit Win 7 runs great. I have not tried it on Windows 10, but will be soon.",0,0,1,0,0,0,0,1,1,0,1,1
"Good product but the box was all beat up when it got to my house",0,0,1,0,0,0,0,1,0,0,0,1
"These are VERY helpful!",0,0,1,0,0,0,0,0,0,0,0,0
"This may be great bra for small boobs, but it's awful for gals with big ones. Feather light and flimsy. ZERO lift.",0,0,0,0,1,0,0,1,0,0,1,1
"These are just what I was looking for. The fit is perfect. Not baggy, not tight. Goldilocks would like them.",0,0,1,0,0,0,0,1,0,0,1,0
"A great measuring tool, and it is always handy, whether you are measuring from the base or from the balls.",0,0,1,0,0,0,0,1,0,0,0,0
"Didn't work like it was supposed to. A lot of files did not transfer over.",0,0,0,0,1,0,0,1,0,0,0,0
"They work perfectly for removing all if my make up",0,0,1,0,0,0,0,1,0,0,0,0
"I never write reviews, but I absolutely love these. I bought four, and I'm going to get more very soon. They stretch and fit with my body, and they are super comfy. They're as durable as the bigger name brands. I work out 6 times a week, and they haven't stretched or shrank in the wash. They do ride up a bit when a run, but that's no big deal. Love them!",0,1,1,0,0,0,0,1,0,0,1,1
"running win 10 pro as host OS using license from Win 7. Bought this 2nd copy to run as guest OS on Oracle VirtualBox so I can install software that I dont really want to keep on my real host. Works well with no issues. Those having issues may be using older hardware. I'm running i7-6700K @ 4GHz (8 core) with 32gig ram.",0,1,1,0,0,0,0,1,1,0,1,0
"Love the material, perfect fit 34 DD. Will buy again.",0,1,1,0,0,0,0,1,0,0,0,0
"so im admitting that i do not use this product as directed. actually i don't use this at all to repel bugs so i can't tell you if this product does what it says its supposed to do. the reason why i purchased this product is because it cleans the haze off of your headlights of your car. you can go and buy those expensive buffing kits to restore your headlights that don't work. or you can simply spray this product on your headlights and simply wipe off. it works effortlessly. i was told this trick by a friend and it works magic. imagine bug spray restoring your headlights back to factory clear. so for this, this product gets 5 stars and some.",0,0,1,0,0,0,0,1,1,0,0,0
"Excellent! ""All that, and a Bag of Chips""",0,0,1,0,0,0,0,0,0,0,0,0
"I have long curly frizzy hair and the diffuser on this dryer is big and it works wonders on my hair, i have a little frizz at the end but nothing out of this world, it does keep my curls intact if i put it on a lower setting",0,0,1,0,0,0,0,1,0,0,0,1
"It's great,",0,0,1,0,0,0,0,0,0,0,0,0
"It says it won't work for my mac, what a waste of money",0,0,0,0,1,0,0,0,0,1,0,0
"I liked the way the cards printed like a professional job. I did not like that they had cards that you had to purchase to print.",0,0,0,0,0,0,0,1,0,0,0,1
"Wow. I'm 70 and no computer guru. I have 2 laptops ( 1 windows 7, 1 windows 10), 1 XP tower and an Android tablet. I expected to have a fit just getting the Webroot to run and DUH..no. Once you get the first computer to accept (windows 10 in my case), this was so simple it was amazing. Really pleased with this so far. Webroot states it has security for all these computers. I'm about to find out. If this does not work out well, y'all will be the first to know, but so far, so good. This is a one year contract and for what it covers, I find it extremely reasonable. I bought the disk as I prefer that to downloading. I had Bitdefender on my computers and they installed it (didn't support XP or Android). Cost me a fortune for a 3 year contract for 2 computers and allowed a virus in on the windows 10 that literally destroyed everything. I had to replace the hard-drive . I expect much better results from Webroot.",0,0,1,0,0,0,0,1,1,0,1,0
"Cable linkup did not. Software did not work. Had to contact costumer service. They did get most nearly everything transferred but I still have some very small hiccups that I am slowly getting worked out. I set up my 2 laptops on a home network and seems to be helping clear most of the rest of the hiccups.",0,0,0,1,0,0,0,1,0,0,1,1
"Material is nice. Comfortable...",0,0,1,0,0,0,0,1,0,0,0,0
"I originally ordered a medium because in sweats and most stretch pants that is what I wear (regular 5-7pant size) everywhere fit great with the medium except the waist and ankle cuffs ( they were baggy). So I returned them and got a small and I personally like the tighter fit better. I love the high waist! My only complaint is that the seam crosses right over your knees and rubs with the smaller size.",1,0,1,0,0,0,0,1,1,0,1,1
"Great for my grandchildren",0,0,1,0,0,0,0,0,0,0,0,0
"Everything fine except no memory card included. Must buy separately",0,0,1,0,0,0,0,1,0,0,0,1
"Beware, this product key is showing as not valid when i try to upgrade my WIn 7 Pro.",0,0,0,0,1,0,0,0,1,0,0,0
"I bought this to a back for my husband and he is still using it to this day. He was able to fit all his Tools in there and the material is very sturdy.",0,0,1,0,0,0,0,1,0,0,0,0
"My son loves it.First time he installed it the webcam was not working.The seller went far and beyond to ship a new one.",0,0,1,1,0,1,0,0,0,0,0,0
"Two small for rod we are using. On a normal rod I can see these working fine. We used a fence top rail and need oversized rings. Not the products fault. We kept them since it was our fault.",0,0,0,0,0,0,0,1,0,0,0,1
"I wear these pants to work daily , they're very durable very comfortable I like the extra pockets I have a place to put my phone and my glasses and I don't worry about sitting on either one.",0,0,1,0,0,0,0,1,0,0,1,0
"Let me start by saying the blade itself is awesome. Super sharp and gets the job done easy and quick. The pen/handle part that the blade goes into though.... sucks. I don't know if mine came broken or what but the blade just falls right out. It doesn't matter how much I twist it to tighten or shove it down in there it never gets tight enough to hold the blade in. Which is pretty dangerous considering how sharp it is.",0,0,0,0,0,0,1,1,0,0,1,1
"It's a knife! It's sharp and works well. Blade doesn't come loose like in other brands.",0,0,1,0,0,0,0,1,0,0,1,0
"Such a cute outfit! My grandson loves the whale and the fit is perfect.",0,0,1,0,0,0,0,1,0,0,1,0
"Great little camera and a good value for cost. Easy to setup and use",0,0,1,0,0,0,0,1,0,0,1,0
"Works good",0,0,1,0,0,0,0,1,0,0,0,0
"Always will love this product",0,0,1,0,0,0,0,0,0,0,0,0
"It's nice to see countertop manufacturers catching up with the ""black stainless"" revolution that is sweeping through kitchens across the nation. The color and finish are accurate and match the rest of the appliances in our kitchen, and the dimensions are such that the microwave tucks neatly into our counter space without being too much of a hog. It cooks efficiently and is easy to clean, so overall I have no real complaints. It's a great microwave, especially for a full powered 1000+ watt one... Extra features: Eco Mode. This is kind of useless except it seems to draw less current in standby mode, but since it's using such a low draw in its latent state it's hardly worth messing with. Quiet mode is nice if you're the kind of person who hates extra clicks and beeps.",0,0,1,0,0,0,0,1,1,0,1,1
"Great shirt! Fits perfect, light weight, breathable, stretch material, great price!",0,0,1,0,0,0,0,1,0,0,1,0
"Huge variety of band aids in this box for 7.99. What's not to like?!?! I have three kiddos, so clearly we go through band aids at my home. I like that these are the thicker, quality fabric ones...not the cheap plastic style. They also seem to really stick on, they can last for several days with no issue. Quality, quantity...it's everything you want in a band aid ï¿½ï¿½ï¿½�",0,0,1,0,0,0,0,1,0,0,1,0
"As advertised.",0,0,1,0,0,0,0,0,0,0,0,0
"Easy install and works well. It talks as well as alarms. Night light that's activated with motion is nice.",0,0,1,0,0,0,0,1,0,0,1,0
"I was hoping that the bag was deeper when closed, but the dimensions given were for the bag open.",0,0,0,0,0,0,0,1,0,0,0,0
"So excited! Definitely the best deal I ever made. Real compression fabric,snuggle and comfy. I'm 5'5 and 140, bought M size, I love them so much, will buy more!",0,1,1,0,0,0,0,1,0,0,1,0
"Great! Just what I need, cane quickly",0,0,1,0,0,0,0,1,0,0,0,0
"I purchased this for the bottle opener feature. However it doesn't work correctly unless the blade is open. The jaws are not wide enough to bite the tops it makes the operation terribly unsafe.",0,0,0,0,1,1,0,1,0,0,1,0
"my os too old to be compatible, does not work, use cloud and other devices",0,0,0,0,1,0,0,1,1,0,0,0
"Wish it were easier to adjust the height without the need to take the device off completely, but it is Ok. 'tis nice, that it comes with the rubber ""flapper"" -- I didn't need to replace it, so I'll save it until the time that I do. Instructions are rudimentary -- and with very few words. As if the manufacturer didn't want to bother with text -- and the need to translate it into too many languages. Fortunately, there are YouTube videos showing, how to replace these. Will see about the longevity. For now, if I had to buy another, I'd pick the same one again.",0,1,1,0,0,0,0,1,0,0,1,1
"These really do help you fall asleep. But I am having the most insane and very intense dreams. The dreams feel so real and I keep waking up due to the dreams. Every time I fall back asleep it's a different dream. For example I have a married to my husband for 21 years and the dream that I just currently had was about me being married to somebody else with three other children in my dream that I don't ever remember giving birth to. Then I woke up went back to sleep and had a completely different dream about my daughter living in some underground world almost like a cult that controls you. I was told when I went into the underground world that if I lost my ticket I would never get out. That dream ended with me and my daughter and my husband all drowning after I was in a modeling competition with my daughter. I think I may need to try to find something else because I'm not really getting sleep but I am falling asleep with unbelievable sometimes almost terrifying dreams. The only reason I gave it 2 stars is because I do fall asleep.",0,0,0,0,1,0,0,1,0,0,0,1
"Best bra I have ever owned!!!!!!! Want it in every color. Full coverage, light weight without all the padding and thick band in the back. Highly recommend",0,1,1,0,0,0,0,1,1,0,1,0
"This software is great for dictating just about anything and will save me a lot of time.You can use it with Email, Word or any other product that's used to create a document. Follow the interactive tutorial first and you'll see just how easy it is to use.",0,0,1,0,0,0,0,1,1,0,1,0
"Great",0,0,1,0,0,0,0,0,0,0,0,0
"Fit very well & fabric is very nice",0,0,1,0,0,0,0,1,0,0,0,0
"SHARP AF! I had lots of close calls cutting vinyl wrap lol, be very carefull as it is extremely sharp",0,0,0,0,0,0,0,1,1,0,0,0
"Love the freshness it leaves",0,0,1,0,0,0,0,1,0,0,0,0
"Excelente",0,0,1,0,0,0,0,0,0,0,0,0
"We live this. We use it every night. Live the colors. And sound quality is amazing. Would definitely recommend this.",0,0,1,0,0,0,0,1,1,0,0,0
"These are the best shirts in the world. Love the 2.0 which is even lighter but still holds shape.",0,1,1,0,0,0,0,1,0,0,0,0
"We're loving this program! The kids typing skills are improving wonderfully! Fun games, music choice, can create progress for multiple users & disk doesn't have to be in PC to access program once you've installed it-which is a big plus for us also! Absolutely LOVE the large variety of Practice sessions!!! You or children can practice typing documents on interesting topics like History includes Bill Of Rights, U.S. Constitution, ect. Literature, includes like Huckleberry Finn, The Brothers Grimm & sooooo many more, Science includes numerous writings on Natural Science & Astronomy, topics include monkeys, bats, frogs, rain forest birds....the list goes on and on. I can see this program lasting us for years & helping our kids learn to love and excel at typing! Very very pleased with purchase & our kids are too!",0,0,1,0,0,0,0,1,1,0,1,0
"Awesome",0,0,1,0,0,0,0,0,0,0,0,0
"great product",0,0,1,0,0,0,0,0,0,0,0,0
"It was rather smaller than I thought but it did what was described.",0,0,0,0,0,0,0,1,0,0,0,1
"Little trouble installing the battery but figured it out at last. Nice to have a phone in my pocket so I can answer calls without going to where the base is.",0,0,1,0,0,0,0,1,0,0,0,1
"Its amazing i have had it for a while and ive been using mainly only the stock plugins",0,0,1,0,0,0,0,1,0,0,0,0
"great substitute for Microsoft excel and word.",0,0,1,0,0,0,0,1,0,0,0,0
"I rated it high because it arrv'd in a timely manner, was easy to install and hopefully is working as advertised in the background 24/7",0,0,1,0,0,0,0,1,0,0,1,0
"Works as advertised",0,0,1,0,0,0,0,1,0,0,0,0
"Great uniform for wearing in the Florida heat.Really does keep you cool. It runs a bit small so just order the next size up.",0,0,1,0,0,0,0,1,1,0,0,1
"2 weeks after warranty expired my oven quit working. It will no longer cook any of my food items. How very disappointing.",0,0,0,0,1,0,1,1,0,0,0,0
"It fit as described.",0,0,1,0,0,0,0,1,0,0,0,0
"I like how when one alarm goes off it connects to all. Better price on amazon then in stores.",0,0,1,0,0,0,0,1,0,0,0,0
"My husband liked this shirt so much that he ordered another. Fabric is smooth and comfortable and the fit is great!! Really keeps it's shape, even after numerous washings. Recommend",0,1,1,0,0,0,0,1,1,0,1,0
"Comfortable!",0,0,1,0,0,0,0,1,0,0,0,0
"Excelent, specially if you have thousands of books. Don't believe the hype. Kindle hardware accepts around one thousand books or less. If you hava more you'll need this app.",0,0,1,0,0,0,0,1,1,0,0,0
"Great stuff!",0,0,1,0,0,0,0,0,0,0,0,0
"My Dell Optiplex 7010 arrived today, a day ahead of schedule. When setting up it kept saying there was no hard drive. I fixed that easily enough myself. The biggest problem I had was getting the Windows Activation Code to work. I was evidently not doing something right or couldn't read the code on the computer correctly. I contacted ReCharge and a tech named Jared signed in to my PC via Team Viewer, entered the code, and it worked fine. He then applied the updates and now everything works as it should. Thanks, Jared! EDIT: I received this computer 2.19.19. Today is 3.5.19 The video card has malfunctioned.",0,0,0,1,1,1,0,1,0,0,1,1
"Fits perfectly. So nice to have a phone pocket, also made of silky material so nothing sticks to them A++",0,0,1,0,0,0,0,1,0,0,1,0
"Best antivirus I have used It's not heavy on pc I have been using kaspersky since 2011 and it has been Always the best !",0,1,1,0,0,0,0,1,0,0,0,0
"First day with these but setup was awful. Apparently the ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½ï¿½refurbished''ï¿½ï¿½ units often are still tagged to someone else's account and Arlo customer service has to deactivate this but needs proof of purchase and it takes some time. Took me 2 total calls to setup. Once they had that handled it was flawless however and I could not be happier. The field of view is way greater than I anticipated and I was able to fully cover my needs with 5 cameras. I will probably still add one for upstairs but as a whole my property is covered. I will update if battery life or anything changes but I bought t",0,1,1,1,0,1,0,1,0,0,1,1
"Greattt",0,0,1,0,0,0,0,0,0,0,0,0
"Very good!",0,0,1,0,0,0,0,0,0,0,0,0
"REAL GOOD BITS!!",0,0,1,0,0,0,0,0,0,0,0,0
"Free word alternative, gets the job done, and isn't too shabby.",0,0,1,0,0,0,0,1,0,0,1,0
"Great product a bit larger than expected but I got a small and Medium.",0,0,1,0,0,0,0,1,0,0,0,1
"Great value when you do subscribe and save! Cheaper than buying it at department store!",0,0,1,0,0,0,0,1,1,0,0,0
"My video-crazed son needs to learn how to type. While it certainly isn't as much fun as a regular video game, he doesn't mind playing it at all and is learning how to type.",0,0,1,0,0,0,0,1,0,0,0,1
"I am very familiar with Broaderbund products, as I've been using them around 15 years. I had ""print shop"" in the 90s, but switched over to ""printmaster"" because it offered a wider array of features. NOT SO ANYMORE! Just for kicks, I recently bought them both: I got a new pc w/ windows 7, so I HAD TO BUY :( ... well, first off if you're a keyboard shortcuts person like me, you'll be very disappointed with Printmaster's new GOLD 2011 version for windows 7. No keyboard shorts, and secondly, and most unfortunate, one CANNOT access previous printmaster projects in it. So, my advice, get print shop version 23: it looks just like the old printmaster apps and one can use keyboard shorts. It looks and feels right as rain! :-)",0,1,0,0,1,1,0,1,1,0,1,0
"Worked as advertised",0,0,1,0,0,0,0,1,0,0,0,0
"Frickn love this brush",0,0,1,0,0,0,0,0,0,0,0,0
"I have two other identical systems. all work well.",0,0,1,0,0,0,0,1,0,0,0,0
"Decent shirt. Color is nice and looks nice just a bit loose.",0,0,1,0,0,0,0,1,0,0,1,1
"I have been searching for the right bra forever!!! I am a 40G and it seemed like every bra is cut different so to find this one that not only fits properly but is under $20 is AMAZING!!! Sooooo happy!",0,0,1,0,0,0,0,1,1,0,0,0
"Thinks to much of itself, to proprietary",0,0,0,0,1,0,0,0,0,0,0,0
"Just plain junk dose not grip carpet or hardwood floors I would like my money back",0,0,0,0,1,1,0,1,0,1,0,0
"This microwave has plenty of power and heats food and cooks rapidly. It is easy to use and is fairly quiet for all the power.",0,0,1,0,0,0,0,1,0,0,1,0
"It's dark blue. I washed it once. My dryer was coated with a huge amount of blue chalk (dye?). I didn't wear it. I washed it a 2nd time. STILL more dark blue chalk in the dryer. I took the shirt out of the dryer, there was a hole in the back of the shirt. It was thread bare. It looked like the only thing holding it together was the blue dye that washed out of it. Then the fabric just fell apart. I didn't even get to wear it once.",0,0,0,0,1,0,0,1,0,0,0,0
"Nice appliance. Slightly smaller than I anticipated but that's ok. They did advertise measurements, so no false advertising here. Has easy one touch controls.",0,0,1,0,0,0,0,1,0,0,1,1
"This is a great golf shirt. Bought 2 of them to try. Unlike most of the cling type golf shirts these have room to swing your arms. And if your stomach is a little large there's room there too. Fits great looks great at a great price",0,0,1,0,0,0,0,1,1,0,1,0
"It was bigger than expected, plus when I got the lower size it still sticks out in the middle front area as the fabric is bulky.",0,0,0,0,1,0,0,1,0,0,1,0
"I got the wrong one",0,0,0,0,0,0,0,0,0,0,0,0
"Wonderful!",0,0,1,0,0,0,0,0,0,0,0,0
"Ordered for business because of computer updates and not on new computers, always used and liked in the past and will continue to use in the future!",0,1,1,0,0,0,0,0,0,0,0,0
